Urn,AnalyticalClass,Label
urn:cite:morph:form.cv02330,conjverb,conjugated verb: 1st plural aorist imperative active
urn:cite:morph:form.cv02331,conjverb,conjugated verb: 1st plural aorist imperative middle
urn:cite:morph:form.cv02332,conjverb,conjugated verb: 1st plural aorist imperative passive
urn:cite:morph:form.cv02400,conjverb,conjugated verb: 1st plural perfect indicative active
urn:cite:morph:form.cv02401,conjverb,conjugated verb: 1st plural perfect indicative middle
urn:cite:morph:form.cv02402,conjverb,conjugated verb: 1st plural perfect indicative passive
urn:cite:morph:form.cv02410,conjverb,conjugated verb: 1st plural perfect subjunctive active
urn:cite:morph:form.cv02411,conjverb,conjugated verb: 1st plural perfect subjunctive middle
urn:cite:morph:form.cv02412,conjverb,conjugated verb: 1st plural perfect subjunctive passive
urn:cite:morph:form.cv02420,conjverb,conjugated verb: 1st plural perfect optative active
urn:cite:morph:form.cv02421,conjverb,conjugated verb: 1st plural perfect optative middle
urn:cite:morph:form.cv02422,conjverb,conjugated verb: 1st plural perfect optative passive
urn:cite:morph:form.cv02430,conjverb,conjugated verb: 1st plural perfect imperative active
urn:cite:morph:form.cv02431,conjverb,conjugated verb: 1st plural perfect imperative middle
urn:cite:morph:form.cv02432,conjverb,conjugated verb: 1st plural perfect imperative passive
urn:cite:morph:form.cv02500,conjverb,conjugated verb: 1st plural pluperfect indicative active
urn:cite:morph:form.cv02501,conjverb,conjugated verb: 1st plural pluperfect indicative middle
urn:cite:morph:form.cv02502,conjverb,conjugated verb: 1st plural pluperfect indicative passive
urn:cite:morph:form.cv02510,conjverb,conjugated verb: 1st plural pluperfect subjunctive active
urn:cite:morph:form.cv02511,conjverb,conjugated verb: 1st plural pluperfect subjunctive middle
urn:cite:morph:form.cv02512,conjverb,conjugated verb: 1st plural pluperfect subjunctive passive
urn:cite:morph:form.cv02520,conjverb,conjugated verb: 1st plural pluperfect optative active
urn:cite:morph:form.cv02521,conjverb,conjugated verb: 1st plural pluperfect optative middle
