RuleUrn,InflectionClass,Ending,Gender,Case,Number,Tense,Voice
verbinfl.w_futptcp_mp12m,w_regular,hsomenwn,fem,gen,pl,fut,pass
verbinfl.w_futptcp_mp13m,w_regular,hsomenais,fem,dat,pl,fut,pass
verbinfl.w_futptcp_mp14m,w_regular,hsomena_s,fem,acc,pl,fut,pass
verbinfl.w_futptcp_mp15m,w_regular,hsomenai,fem,voc,pl,fut,pass




verbinfl.w_futptcp_mp1n,w_regular,hsomenon,neut,nom,sg,fut,pass
verbinfl.w_futptcp_mp2n,w_regular,hsomenou,neut,gen,sg,fut,pass
verbinfl.w_futptcp_mp3n,w_regular,hsomenw|,neut,dat,sg,fut,pass
verbinfl.w_futptcp_mp4n,w_regular,hsomenon,neut,acc,sg,fut,pass
verbinfl.w_futptcp_mp5n,w_regular,hsomenon,neut,voc,sg,fut,pass

verbinfl.w_futptcp_mp6n,w_regular,hsomenw,neut,nom,dual,fut,pass
verbinfl.w_futptcp_mp7n,w_regular,hsomenoin,neut,gen,dual,fut,pass
verbinfl.w_futptcp_mp8n,w_regular,hsomenoin,neut,dat,dual,fut,pass
verbinfl.w_futptcp_mp9n,w_regular,hsomenw,neut,acc,dual,fut,pass
verbinfl.w_futptcp_mp10n,w_regular,hsomenw,neut,voc,dual,fut,pass

verbinfl.w_futptcp_mp11n,w_regular,hsomena,neut,nom,pl,fut,pass
verbinfl.w_futptcp_mp12n,w_regular,hsomenwn,neut,gen,pl,fut,pass
verbinfl.w_futptcp_mp13n,w_regular,hsomenois,neut,dat,pl,fut,pass
verbinfl.w_futptcp_mp14n,w_regular,hsomena,neut,acc,pl,fut,pass
verbinfl.w_futptcp_mp15n,w_regular,hsomena,neut,voc,pl,fut,pass
