RuleUrn,InflectionClass,Ending,Gender,Case,Number,Tense,Voice
verbinfl.pp1ptcp-mp6n,w_regular,omenw,masc,nom,dual,pres,act
verbinfl.pp1ptcp-mp7n,w_regular,omenoin,masc,gen,dual,pres,act
verbinfl.pp1ptcp-mp8n,w_regular,omenoin,masc,dat,dual,pres,act
verbinfl.pp1ptcp-mp9n,w_regular,omenw,masc,acc,dual,pres,act
verbinfl.pp1ptcp-mp10n,w_regular,omenw,masc,voc,dual,pres,act

verbinfl.pp1ptcp-mp11n,w_regular,omena,masc,nom,pl,pres,act
verbinfl.pp1ptcp-mp12n,w_regular,omenwn,masc,gen,pl,pres,act
verbinfl.pp1ptcp-mp13n,w_regular,omenois,masc,dat,pl,pres,act
verbinfl.pp1ptcp-mp14n,w_regular,omena,masc,acc,pl,pres,act
verbinfl.pp1ptcp-mp15n,w_regular,omena,masc,voc,pl,pres,act
