urn,normalizedlemma,shortdef
urn:cite:perseus:lexentity.lex329.1,Βάκχευσις,""
urn:cite:perseus:lexentity.lex330.1,Βάκχη,""
urn:cite:perseus:lexentity.lex331.1,Βάκχις,""
urn:cite:perseus:lexentity.lex332.1,Βάκχος,""
urn:cite:perseus:lexentity.lex333.1,Βάκχων,""
urn:cite:perseus:lexentity.lex334.1,Βάλαγραι,""
urn:cite:perseus:lexentity.lex335.1,Βάλακος,""
urn:cite:perseus:lexentity.lex336.1,Βάλακρος,""
urn:cite:perseus:lexentity.lex337.1,Βάλαμος,""
urn:cite:perseus:lexentity.lex338.1,Βάλας,""
urn:cite:perseus:lexentity.lex339.1,Βάλβουρα,""
urn:cite:perseus:lexentity.lex340.1,Βάλιος,""
urn:cite:perseus:lexentity.lex341.1,Βάλλα,""
urn:cite:perseus:lexentity.lex342.1,Βάλωμον,""
urn:cite:perseus:lexentity.lex343.1,Βάνδιος,""
urn:cite:perseus:lexentity.lex344.1,Βάνων,""
urn:cite:perseus:lexentity.lex345.1,Βάραθρα,""
urn:cite:perseus:lexentity.lex347.1,Βάρβιλλος,""
urn:cite:perseus:lexentity.lex348.1,Βάργασα,""
urn:cite:perseus:lexentity.lex349.1,Βάρδουλοι,""
urn:cite:perseus:lexentity.lex350.1,Βάρθας,""
urn:cite:perseus:lexentity.lex351.1,Βάριον,""
urn:cite:perseus:lexentity.lex352.1,Βάρις,""
urn:cite:perseus:lexentity.lex353.1,Βάρκα,""
urn:cite:perseus:lexentity.lex354.1,Βάρκη,""
urn:cite:perseus:lexentity.lex355.1,Βάρνα,""
urn:cite:perseus:lexentity.lex356.1,Βάρρος,""
urn:cite:perseus:lexentity.lex357.1,Βάρρων,""
urn:cite:perseus:lexentity.lex358.1,Βάσελος,""
urn:cite:perseus:lexentity.lex359.1,Βάσιλις,""
urn:cite:perseus:lexentity.lex360.1,Βάσιλλος,""
urn:cite:perseus:lexentity.lex361.1,Βάσιλος,""
urn:cite:perseus:lexentity.lex362.1,Βάσσος,""
urn:cite:perseus:lexentity.lex363.1,Βάτα,""
urn:cite:perseus:lexentity.lex364.1,Βάταλος,""
urn:cite:perseus:lexentity.lex365.1,Βάτναι,""
urn:cite:perseus:lexentity.lex366.1,Βάτραχος,""
urn:cite:perseus:lexentity.lex367.1,Βάτταλος,""
urn:cite:perseus:lexentity.lex368.1,Βάττος,""
urn:cite:perseus:lexentity.lex369.1,Βάτων,""
urn:cite:perseus:lexentity.lex370.1,Βέβρυκες,""
urn:cite:perseus:lexentity.lex371.1,Βέβων,""
urn:cite:perseus:lexentity.lex373.1,Βέλβινα,""
urn:cite:perseus:lexentity.lex374.1,Βέλεσυς,""
urn:cite:perseus:lexentity.lex375.1,Βένδις,""
urn:cite:perseus:lexentity.lex376.1,Βένετος,""
urn:cite:perseus:lexentity.lex377.1,Βέργαῖος,""
urn:cite:perseus:lexentity.lex378.1,Βέργη,""
urn:cite:perseus:lexentity.lex379.1,Βέργομον,""
urn:cite:perseus:lexentity.lex380.1,Βέρμιος,""
urn:cite:perseus:lexentity.lex381.1,Βέρροια,""
urn:cite:perseus:lexentity.lex382.1,Βέσβικος,""
urn:cite:perseus:lexentity.lex383.1,Βέσβιον,""
urn:cite:perseus:lexentity.lex384.1,Βέσσος,""
urn:cite:perseus:lexentity.lex385.1,Βέχειροι,""
urn:cite:perseus:lexentity.lex386.1,Βήνακος,""
urn:cite:perseus:lexentity.lex387.1,Βήροσος,""
urn:cite:perseus:lexentity.lex388.1,Βίας,""
urn:cite:perseus:lexentity.lex389.1,Βίβακτα,""
urn:cite:perseus:lexentity.lex390.1,Βίβλινος,""
urn:cite:perseus:lexentity.lex391.1,Βίβλος,""
urn:cite:perseus:lexentity.lex393.1,Βίλβιλις,""
urn:cite:perseus:lexentity.lex394.1,Βίλιος,""
urn:cite:perseus:lexentity.lex395.1,Βίλιππος,""
urn:cite:perseus:lexentity.lex396.1,Βίππος,""
urn:cite:perseus:lexentity.lex397.1,Βίρις,""
