StemUrn,LexicalEntity,StemString,InflClass,Tags
lsjpool.n3912_0,lexent.n3912,:de:a)ldh,skw,
lsjpool.n3919_0,lexent.n3919,:de:a)le,ainw,
lsjpool.n3926_0,lexent.n3926,:de:a)leg,izw,
lsjpool.n3927_0,lexent.n3927,:de:a)leg,unw,
lsjpool.n3931_0,lexent.n3931,:de:a)^le,einw,
lsjpool.n3965_0,lexent.n3965,:de:a)leif,reg_conj,
lsjpool.n4019_0,lexent.n4019,:de:a)lec,e_suppl,
lsjpool.n4019_0,lexent.n4019,:de:a)^lek,reg_conj,
lsjpool.n4020_0,lexent.n4020,:de:a)^l,ev_stem,
lsjpool.n4038_0,lexent.n4038,:de:a)letr,euw,
lsjpool.n4060_0,lexent.n4060,:de:a)l,euw,
lsjpool.n4075_0,lexent.n4075,:de:a)lhq,euw,
lsjpool.n4075_0,lexent.n4075,:de:a)lhq,izw,
lsjpool.n4115_0,lexent.n4115,:de:a)lht,euw,
lsjpool.n4184_0,lexent.n4184,:de:a(li,euw,
lsjpool.n4186_0,lexent.n4186,:de:a(_l,izw,
lsjpool.n4187_0,lexent.n4187,:de:a(^l,izw,
lsjpool.n4225_0,lexent.n4225,:de:a)lind,ew_denom,
lsjpool.n4225_0,lexent.n4225,:de:a)^li,ndw,
lsjpool.n4240_0,lexent.n4240,:de:a(li,ow_denom,
lsjpool.n4240_0,lexent.n4240,:de:a(li,ow_denom,
lsjpool.n4271_0,lexent.n4271,:de:a)lisg,ew_denom,
lsjpool.n4274_0,lexent.n4274,:de:a(l,iskw,
lsjpool.n4274_0,lexent.n4274,:de:a(^l,o_stem,
lsjpool.n4288_0,lexent.n4288,:de:a)li^t,ainw,
lsjpool.n4288_0,lexent.n4288,:de:a)li^tr,ainw,
lsjpool.n4288_0,lexent.n4288,:de:a)li^tr,ew_denom,
lsjpool.n4372_0,lexent.n4372,:de:a)llanto-pwl,ew_denom,
lsjpool.n4378_0,lexent.n4378,:de:a)lla,ss,
lsjpool.n4391_0,lexent.n4391,:de:a)ll-hgor,ew_denom,
lsjpool.n4442_0,lexent.n4442,:de:a)llo-gno,ew_denom,
lsjpool.n4470_0,lexent.n4470,:de:a)lloi,ow_denom,
lsjpool.n4479_0,lexent.n4479,:de:(,allw,
lsjpool.n4500_0,lexent.n4500,:de:a)llotrio-log,ew_denom,
lsjpool.n4517_0,lexent.n4517,:de:a)llotri,ow_denom,
lsjpool.n4529_0,lexent.n4529,:de:a)llo-fron,ew_denom,
lsjpool.n4578_0,lexent.n4578,:de:a)loi,aw_denom,
lsjpool.n4578_0,lexent.n4578,:de:a)lo,aw_denom,
lsjpool.n4582_0,lexent.n4582,:de:a)-log,ew_denom,
